trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
R51WSL005,8:40:00,8:40:00,21A,1,,
R51WSL005,8:50:00,8:50:00,30A,2,,
R51WSL005,8:57:00,8:57:00,22A,3,,
R51WSL005,8:59:00,8:59:00,23A,4,,
R51WSL005,9:02:00,9:02:00,27A,5,,
R51WSL005,9:04:00,9:04:00,24C,6,,
R51WSL005,9:09:00,9:09:00,26A,7,,
R51WSL005,9:11:00,9:11:00,28A,8,,
R51WSL005,9:16:00,9:16:00,31A,9,,
R51WSL005,9:20:00,9:20:00,25A,10,,
R51WSL005,9:22:00,9:22:00,03A,11,,
R51WSL005,9:25:00,9:25:00,02D,12,,
R51WSL005,9:30:00,9:30:00,01F,13,,
R51WSL005,9:34:00,9:34:00,29A,14,,
R51WSL005,9:41:00,9:41:00,32A,15,,
R51WSL005,9:48:00,9:48:00,17F,16,,
R51WSL005,9:53:00,9:53:00,19A,17,,
R51WSL005,9:57:00,9:57:00,20A,18,,
R51WSL005,10:02:00,10:02:00,21A,19,,
R51WSL006,9:00:00,9:00:00,21A,1,,
R51WSL006,9:10:00,9:10:00,30A,2,,
R51WSL006,9:17:00,9:17:00,22A,3,3,3
R51WSL006,9:19:00,9:19:00,23A,4,3,3
R51WSL006,9:22:00,9:22:00,27A,5,,
R51WSL006,9:24:00,9:24:00,24C,6,,
R51WSL006,9:29:00,9:29:00,26A,7,,
R51WSL006,9:31:00,9:31:00,28A,8,,
R51WSL006,9:36:00,9:36:00,31A,9,,
R51WSL006,9:40:00,9:40:00,25A,10,,
R51WSL006,9:42:00,9:42:00,03A,11,,
R51WSL006,9:45:00,9:45:00,02D,12,,
R51WSL006,9:50:00,9:50:00,01F,13,,
R51WSL006,9:54:00,9:54:00,29A,14,,
R51WSL006,10:01:00,10:01:00,32A,15,,
R51WSL006,10:08:00,10:08:00,17F,16,,
R51WSL006,10:13:00,10:13:00,19A,17,,
R51WSL006,10:17:00,10:17:00,20A,18,,
R51WSL006,10:22:00,10:22:00,21A,19,,
R51WSL007,16:00:00,16:00:00,21A,1,,
R51WSL007,16:10:00,16:10:00,30A,2,,
R51WSL007,16:17:00,16:17:00,22A,3,,
R51WSL007,16:19:00,16:19:00,23A,4,3,3
R51WSL007,16:22:00,16:22:00,27A,5,,
R51WSL007,16:24:00,16:24:00,24C,6,,
R51WSL007,16:29:00,16:29:00,26A,7,,
R51WSL007,16:31:00,16:31:00,28A,8,,
R51WSL007,16:36:00,16:36:00,31A,9,,
R51WSL007,16:40:00,16:40:00,25A,10,,
R51WSL007,16:42:00,16:42:00,03A,11,,
R51WSL007,16:45:00,16:45:00,02D,12,,
R51WSL007,16:50:00,16:50:00,01F,13,,
R51WSL007,16:54:00,16:54:00,29A,14,,
R51WSL007,17:01:00,17:01:00,32A,15,,
R51WSL007,17:08:00,17:08:00,17F,16,,
R51WSL007,17:13:00,17:13:00,19A,17,,
R51WSL007,17:17:00,17:17:00,20A,18,,
R51WSL007,17:22:00,17:22:00,21A,19,,
R51WSL008,21:04:00,21:04:00,24C,1,,
R51WSL008,21:09:00,21:09:00,26A,2,,
R51WSL008,21:11:00,21:11:00,28A,3,,
R51WSL008,21:16:00,21:16:00,31A,4,,
R51WSL008,21:20:00,21:20:00,25A,5,,
R51WSL008,21:25:00,21:25:00,02D,6,,
R51WSL008,21:30:00,21:30:00,01F,7,,
R51WSL008,21:34:00,21:34:00,29A,8,,
R51WSL008,21:41:00,21:41:00,32A,9,,
R51WSL008,21:48:00,21:48:00,17F,10,,
R51WSL008,21:53:00,21:53:00,19A,11,,
R51WSL008,21:57:00,21:57:00,20A,12,,
R51WSL008,22:02:00,22:02:00,21A,13,,
R51WSL009,23:45:00,23:45:00,02D,1,,
R51WSL009,23:50:00,23:50:00,01F,2,,
R51WSL009,23:54:00,23:54:00,29A,3,,
R51WSL009,24:01:00,24:01:00,32A,4,,
R51WSL009,24:08:00,24:08:00,17F,5,,
R51WSL009,24:13:00,24:13:00,19A,6,,
R51WSL009,24:17:00,24:17:00,20A,7,,
R51WSL009,24:22:00,24:22:00,21A,8,,
